epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
1,1.5204,1.4821,1.2032,0.4821,0.4412,0.4851,0.3121,1.4201,1.3821,1.1521
2,1.3204,1.2821,1.1032,0.5621,0.5112,0.5521,0.3621,1.2901,1.2521,1.0921
3,1.1921,1.1402,1.0201,0.6120,0.5732,0.6032,0.3951,1.1821,1.1302,1.0101
4,1.0821,1.0312,0.9521,0.6521,0.6120,0.6482,0.4282,1.0921,1.0212,0.9421
5,0.9921,0.9412,0.9021,0.6921,0.6482,0.6832,0.4561,1.0121,0.9512,0.8921
6,0.9201,0.8712,0.8521,0.7221,0.6812,0.7192,0.4812,0.9421,0.8812,0.8421
7,0.8621,0.8121,0.8101,0.7512,0.7102,0.7482,0.5052,0.8921,0.8321,0.8021
8,0.8101,0.7612,0.7721,0.7782,0.7382,0.7721,0.5232,0.8421,0.7812,0.7721
9,0.7651,0.7212,0.7412,0.8012,0.7612,0.7951,0.5421,0.8012,0.7412,0.7412
10,0.7282,0.6832,0.7121,0.8221,0.7821,0.8142,0.5582,0.7721,0.7132,0.7121
11,0.6921,0.6512,0.6832,0.8351,0.7982,0.8292,0.5702,0.7421,0.6812,0.6832
12,0.6612,0.6212,0.6612,0.8482,0.8121,0.8412,0.5812,0.7121,0.6512,0.6612
13,0.6321,0.5932,0.6382,0.8592,0.8242,0.8512,0.5912,0.6921,0.6312,0.6382
14,0.6082,0.5712,0.6192,0.8682,0.8342,0.8592,0.5992,0.6721,0.6112,0.6192
15,0.5851,0.5501,0.5992,0.8761,0.8432,0.8661,0.6051,0.6512,0.5932,0.5992
16,0.5642,0.5312,0.5812,0.8832,0.8512,0.8721,0.6102,0.6351,0.5782,0.5812
17,0.5451,0.5132,0.5642,0.8892,0.8582,0.8772,0.6142,0.6201,0.5642,0.5642
18,0.5282,0.4972,0.5492,0.8942,0.8642,0.8821,0.6182,0.6072,0.5512,0.5492
19,0.5121,0.4821,0.5351,0.8991,0.8701,0.8861,0.6211,0.5951,0.5401,0.5351
20,0.4982,0.4682,0.5221,0.9032,0.8752,0.8901,0.6242,0.5842,0.5302,0.5221
21,0.4851,0.4561,0.5101,0.9071,0.8801,0.8931,0.6271,0.5741,0.5211,0.5101
22,0.4732,0.4452,0.4992,0.9102,0.8842,0.8962,0.6292,0.5652,0.5132,0.4992
23,0.4621,0.4351,0.4891,0.9131,0.8881,0.8991,0.6311,0.5571,0.5061,0.4891
24,0.4521,0.4261,0.4801,0.9161,0.8911,0.9011,0.6331,0.5501,0.5001,0.4801
25,0.4432,0.4182,0.4721,0.9182,0.8942,0.9032,0.6352,0.5442,0.4952,0.4721
